Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
Faslodex ,Fulvestrant ,1,"$6,803,135.93","36,430","3,305",646,$186.75,"$2,058.44","$10,531.17"
Fazaclo ,Clozapine ,1,"$17,476,565.76","980,385","15,781","1,466",$18.53,"$1,107.44","$11,921.26"
Felbamate ,Felbamate ,2,"$13,520,798.84","4,259,136","22,551","2,386",$3.53,$599.57,"$5,666.72"
Felbatol ,Felbamate ,1,"$10,930,058.80","987,322","4,886",563,$12.06,"$2,237.02","$19,413.96"
Feldene ,Piroxicam ,1,"$137,161.29","14,938",263,68,$9.18,$521.53,"$2,017.08"
Felodipine ER ,Felodipine ,10,"$27,459,669.68","37,182,393","612,720","118,078",$0.74,$44.82,$232.56
Femara ,Letrozole ,1,"$3,323,115.38","146,129","3,326",579,$22.74,$999.13,"$5,739.40"
Femcon Fe ,Noreth-Ethinyl Estradiol/Iron ,1,"$23,648.83","5,068",94,18,$4.67,$251.58,"$1,313.82"
Femhrt ,Norethindrone Ac-Eth Estradiol ,1,"$397,333.86","90,392","1,914",452,$4.40,$207.59,$879.06
Femring ,Estradiol Acetate ,1,"$3,486,382.85","9,527","9,467","3,249",$365.93,$368.27,"$1,073.06"
Fenofibrate ,Fenofibrate ,6,"$120,285,148.94","135,064,379","2,403,193","509,185",$0.90,$50.05,$236.23
Fenofibrate ,Fenofibrate Nanocrystallized ,7,"$117,886,448.41","98,260,122","1,993,706","436,450",$1.19,$59.13,$270.10
Fenofibrate ,"Fenofibrate,Micronized ",7,"$78,173,486.91","51,496,118","983,902","192,879",$1.52,$79.45,$405.30
Fenofibric Acid ,Fenofibric Acid ,1,"$187,930.04","137,829","3,050","1,125",$1.37,$61.62,$167.05
Fenofibric Acid ,Fenofibric Acid (Choline) ,6,"$57,158,604.13","26,017,828","495,534","98,332",$2.20,$115.35,$581.28
Fenoglide ,Fenofibrate ,1,"$1,131,002.64","46,332",916,371,$23.02,"$1,234.72","$3,048.52"
Fenoprofen Calcium ,Fenoprofen Calcium ,2,"$791,151.38","297,026","3,315","1,422",$2.70,$238.66,$556.37
Fentanyl ,Fentanyl ,7,"$283,577,042.50","29,778,915","2,936,198","408,225",$9.43,$96.58,$694.66
Fentanyl Citrate ,Fentanyl Citrate ,2,"$3,899,028.52","261,052","2,433",354,$14.11,"$1,602.56","$11,014.20"
Fentanyl Citrate ,Fentanyl Citrate/PF ,2,"$10,821.76","7,228","1,831","1,595",$1.91,$5.91,$6.78
Fentora ,Fentanyl Citrate ,1,"$25,013,747.63","265,165","2,247",263,$90.06,"$11,132.06","$95,109.31"
Ferriprox ,Deferiprone ,1,"$15,478,656.08","310,459","1,266",206,$49.86,"$12,226.43","$75,139.11"
Fetzima ,Levomilnacipran HCl ,1,"$30,774,171.70","3,071,384","89,373","14,811",$10.02,$344.33,"$2,077.79"
Finacea ,Azelaic Acid ,1,"$11,621,207.30","2,119,546","39,146","23,572",$5.48,$296.87,$493.01
Finasteride ,Finasteride ,15,"$106,226,263.58","342,080,198","5,918,406","1,257,816",$0.31,$17.95,$84.45
Fioricet ,Butalb/Acetaminophen/Caffeine ,1,"$1,509,656.83","371,200","4,759","1,836",$4.07,$317.22,$822.25
Fioricet With Codeine ,Butalbit/Acetamin/Caff/Codeine ,1,"$631,121.51","72,062",804,205,$8.76,$784.98,"$3,078.64"
Fiorinal ,Butalbital/Aspirin/Caffeine ,1,"$414,089.19","100,653","1,133",292,$4.11,$365.48,"$1,418.11"
Fiorinal With Codeine #3 ,Codeine/Butalbital/Asa/Caffein ,1,"$1,243,200.90","143,478","1,349",183,$8.66,$921.57,"$6,793.45"
Firazyr ,Icatibant Acetate ,1,"$122,485,212.07","38,058","2,445",458,"$3,218.38","$50,096.20","$267,434.96"
Firmagon ,Degarelix Acetate ,1,"$908,787.02","1,674","1,485",320,$522.60,$611.98,"$2,839.96"
Flagyl ,Metronidazole ,1,"$60,948.41","6,220",217,144,$9.64,$280.87,$423.25
Flarex ,Fluorometholone Acetate ,1,"$229,525.76","18,550","3,226","1,508",$12.37,$71.15,$152.21
Flavoxate HCl ,Flavoxate HCl ,4,"$962,624.41","1,188,082","14,366","4,699",$0.81,$67.01,$204.86
Flebogamma Dif ,Imm Glob G (IgG)/Sorb/IgA 0-50 ,1,"$2,090,160.38","400,450",406,49,$5.86,"$5,148.18","$42,656.33"
Flecainide Acetate ,Flecainide Acetate ,6,"$35,569,944.36","84,788,897","801,330","164,318",$0.42,$44.39,$216.47
Flector ,Diclofenac Epolamine ,1,"$31,016,562.87","3,054,713","61,621","21,112",$10.15,$503.34,"$1,469.14"
Flomax ,Tamsulosin HCl ,1,"$2,419,925.81","377,686","5,612","1,906",$6.41,$431.21,"$1,269.64"
Flonase ,Fluticasone Propionate ,1,"$6,207.24","1,265",72,69,$4.91,$86.21,$89.96
Flovent Diskus ,Fluticasone Propionate ,1,"$33,071,218.78","10,781,086","144,414","42,449",$3.06,$229.00,$779.08
Flovent HFA ,Fluticasone Propionate ,1,"$298,367,210.16","14,476,811","1,014,050","321,289",$20.51,$294.23,$928.66
Fluconazole ,Fluconazole ,14,"$42,286,072.65","19,417,884","2,780,260","1,542,961",$2.93,$15.21,$27.41
Fluconazole In Dextrose ,"Fluconazole In Dextrose,Iso-Os ",1,"$5,369.34","41,458",70,24,$0.13,$76.70,$223.72
Fluconazole-NaCl ,"Fluconazole In NaCl,Iso-Osm ",4,"$120,030.75","1,627,273","2,090",771,$0.08,$57.43,$155.68
Flucytosine ,Flucytosine ,1,"$2,141,470.49","21,854",222,133,$98.22,"$9,646.26","$16,101.28"
Fludrocortisone Acetate ,Fludrocortisone Acetate ,5,"$11,549,502.78","26,017,776","493,220","99,764",$0.44,$23.42,$115.77
Flumazenil ,Flumazenil ,3,"$43,030.69","22,182","4,374","4,130",$1.95,$9.84,$10.42
Flunisolide ,Flunisolide ,2,"$5,618,576.22","3,013,676","94,191","35,418",$1.86,$59.65,$158.64
Fluocinolone Acetonide ,Fluocinolone Acetonide ,7,"$12,891,753.66","8,070,673","114,398","70,716",$1.62,$112.69,$182.30
Fluocinolone Acetonide ,Fluocinolone/Shower Cap ,2,"$7,682,202.88","5,926,409","46,273","27,488",$1.30,$166.02,$279.47
Fluocinolone Acetonide Oil ,Fluocinolone Acetonide Oil ,2,"$9,627,375.60","1,284,664","62,380","45,219",$7.49,$154.33,$212.91
Fluocinonide ,Fluocinonide ,10,"$88,487,406.79","49,939,809","848,050","471,215",$1.62,$104.34,$187.79
Fluocinonide-E ,Fluocinonide/Emollient Base ,2,"$2,097,668.23","1,226,326","22,060","13,331",$1.71,$95.09,$157.35
Fluoride ,Sodium Fluoride ,2,"$4,173.84","34,080",603,156,$0.12,$6.92,$26.76
Fluorometholone ,Fluorometholone ,1,"$24,374,739.48","2,286,062","324,102","172,477",$10.66,$75.21,$141.32
Fluorouracil ,Fluorouracil ,7,"$64,699,831.47","15,437,070","379,706","323,656",$4.54,$170.39,$199.90
Fluoxetine Dr ,Fluoxetine HCl ,1,"$1,476,423.16","54,347","8,481","1,456",$27.17,$174.09,"$1,014.03"
Fluoxetine HCl ,Fluoxetine HCl ,17,"$99,794,084.91","386,351,634","6,461,096","1,209,680",$0.27,$15.45,$82.50
Fluphenazine Decanoate ,Fluphenazine Decanoate ,2,"$12,296,747.07","463,028","90,089","15,848",$26.58,$136.50,$775.92
Fluphenazine HCl ,Fluphenazine HCl ,6,"$9,227,446.30","12,809,989","206,963","31,065",$0.78,$44.59,$297.04
Flurazepam HCl ,Flurazepam HCl ,2,"$882,061.06","1,543,740","42,431","10,699",$0.58,$20.79,$82.44
Flurbiprofen ,Flurbiprofen ,2,"$879,472.39","2,433,446","32,648","12,558",$0.36,$26.94,$70.03
Flurbiprofen Sodium ,Flurbiprofen Sodium ,2,"$362,955.37","141,429","44,205","22,521",$2.57,$8.21,$16.12
Flutamide ,Flutamide ,3,"$967,029.20","1,226,317","8,126","1,672",$0.79,$119.00,$578.37
Fluticasone Propionate ,Fluticasone Propionate ,12,"$149,977,645.98","234,142,291","11,463,922","4,345,284",$0.64,$13.08,$34.52
Fluvastatin ER ,Fluvastatin Sodium ,2,"$5,726,707.85","1,058,559","18,286","5,033",$5.40,$313.17,"$1,137.83"
Fluvastatin Sodium ,Fluvastatin Sodium ,2,"$7,656,747.08","2,526,821","41,090","9,882",$3.04,$186.34,$774.82
Fluvoxamine Maleate ,Fluvoxamine Maleate ,5,"$10,032,528.26","19,656,536","331,418","39,783",$0.51,$30.27,$252.18
Fluvoxamine Maleate ER ,Fluvoxamine Maleate ,2,"$7,823,929.20","1,087,072","20,938","3,407",$7.21,$373.67,"$2,296.43"
Fml ,Fluorometholone ,1,"$322,836.28","15,273","2,380","1,558",$21.14,$135.65,$207.21
Fml Forte ,Fluorometholone ,1,"$1,372,229.29","56,102","8,797","5,115",$24.46,$155.99,$268.28
Fml S.O.P. ,Fluorometholone ,1,"$1,251,825.21","35,163","9,609","7,235",$35.60,$130.28,$173.02
Focalin ,Dexmethylphenidate HCl ,1,"$57,111.02","47,784",523,120,$1.18,$109.20,$475.93
Focalin XR ,Dexmethylphenidate HCl ,1,"$1,431,757.57","137,501","3,254",682,$10.46,$440.00,"$2,099.35"
Folic Acid ,Folic Acid ,5,"$450,519.94","8,316,388","165,695","38,159",$0.06,$2.72,$11.81
Folivane-Ob ,"PNV 15/Iron Fum,Ps/Folic Acid ",1,"$3,232.28","4,290",99,36,$0.75,$32.65,$89.79
Fondaparinux Sodium ,Fondaparinux Sodium ,3,"$39,713,407.96","357,081","27,511","8,070",$107.80,"$1,443.55","$4,921.12"
Foradil ,Formoterol Fumarate ,1,"$9,327,978.65","2,295,363","30,785","11,918",$4.06,$303.00,$782.68
Forfivo XL ,Bupropion HCl ,1,"$1,854,364.85","160,546","4,400","1,184",$11.55,$421.45,"$1,566.19"
Fortamet ,Metformin HCl ,1,"$6,240,843.38","203,423","2,175",490,$30.66,"$2,869.35","$12,736.42"
Fortaz ,Ceftazidime ,1,"$5,548.84","1,711",76,53,$3.24,$73.01,$104.70
Fortaz In Iso-Osmotic Dextrose ,Ceftazidime In Is-Osm Dextrose ,1,"$11,069.07","22,950",88,18,$0.48,$125.78,$614.95
Forteo ,Teriparatide ,1,"$501,140,320.14","481,522","181,707","32,189","$1,040.74","$2,757.96","$15,568.68"
Fortesta ,Testosterone ,1,"$906,251.57","141,120","1,406",422,$6.42,$644.56,"$2,147.52"
Fortical ,"Calcitonin,Salmon,Synthetic ",1,"$1,721,951.33","109,412","20,631","7,406",$15.74,$83.46,$232.51
Fosamax ,Alendronate Sodium ,1,"$747,246.37","27,450","3,912","1,089",$27.22,$191.01,$686.18
Fosamax Plus D ,Alendronate Sodium/Vitamin D3 ,1,"$1,875,014.32","48,025","7,678","2,068",$39.05,$244.21,$906.68
Fosinopril Sodium ,Fosinopril Sodium ,6,"$5,385,820.10","26,870,158","392,981","83,409",$0.20,$13.71,$64.57
Fosinopril-Hydrochlorothiazide ,Fosinopril/Hydrochlorothiazide ,5,"$1,619,592.52","1,863,140","25,451","5,182",$0.87,$63.64,$312.54
Fosrenol ,Lanthanum Carbonate ,1,"$85,129,150.44","8,077,983","55,552","14,105",$10.54,"$1,532.42","$6,035.39"
Fragmin ,"Dalteparin Sodium,Porcine ",1,"$8,679,730.23","52,398","3,682",945,$181.33,"$2,357.34","$9,184.90"
Frova ,Frovatriptan Succinate ,1,"$3,889,051.32","58,340","4,240","1,387",$66.66,$917.23,"$2,803.93"
Fulyzaq ,Crofelemer ,1,"$726,102.92","73,519","1,191",316,$9.88,$609.66,"$2,297.79"
Furadantin ,Nitrofurantoin ,1,"$58,991.11","13,701",67,14,$4.31,$880.46,"$4,213.65"
Furosemide ,Furosemide ,21,"$130,169,952.63","1,417,876,325","26,658,402","5,323,032",$0.09,$4.88,$24.45
Fusilev ,Levoleucovorin Calcium ,1,"$377,964.44","1,653",128,37,$228.65,"$2,952.85","$10,215.26"
Fuzeon ,Enfuvirtide ,1,"$6,711,473.63","116,699","1,901",244,$57.51,"$3,530.50","$27,506.04"
Fycompa ,Perampanel ,1,"$15,551,821.69","788,157","20,274","2,884",$20.88,$767.08,"$5,392.45"
Gabapentin ,Gabapentin ,24,"$460,068,526.59","3,012,174,602","25,544,533","5,168,311",$0.15,$18.01,$89.02
Gabitril ,Tiagabine HCl ,1,"$6,899,891.29","734,571","9,337","1,046",$9.89,$738.98,"$6,596.45"
Gablofen ,Baclofen ,1,"$464,240.62","10,002",318,106,$46.60,"$1,459.88","$4,379.63"
Galantamine ER ,Galantamine HBr ,6,"$17,814,921.14","7,167,053","179,485","28,222",$2.49,$99.26,$631.24
Galantamine HBr ,Galantamine HBr ,9,"$11,668,679.58","7,867,116","125,105","19,425",$1.49,$93.27,$600.70
Galantamine Hydrobromide ,Galantamine HBr ,1,"$382,461.53","146,710","1,149",216,$2.61,$332.86,"$1,770.66"
Gamastan S-D ,Immune Globul G (IgG)/Glycine ,1,"$254,803.01","6,926","1,007",208,$36.79,$253.03,"$1,225.01"
Gammagard Liquid ,Immun Glob G(IgG)/Gly/IgA Ov50 ,1,"$327,857,981.42","25,140,219","35,754","3,519",$13.04,"$9,169.83","$93,167.94"
Gammagard S-D ,Immun Glob G/Gly/Gluc/IgA 0-50 ,1,"$5,787,387.09","4,338",690,67,"$1,301.20","$8,387.52","$86,378.91"
Gammaked ,Immune Globul G/Gly/IgA Avg 46 ,1,"$19,132,750.25","1,584,030","2,122",314,$12.06,"$9,016.38","$60,932.33"
Gammaplex ,Immun Glob G/Sorb/Gly/IgA 0-50 ,1,"$35,206,419.66","5,126,371","4,000",538,$6.87,"$8,801.60","$65,439.44"
Gamunex-C ,Immune Globul G/Gly/IgA Avg 46 ,1,"$183,794,816.04","17,813,467","26,574","2,474",$10.29,"$6,916.34","$74,290.55"
Ganciclovir Sodium ,Ganciclovir Sodium ,1,"$372,225.99","118,340",597,132,$3.15,$623.49,"$2,819.89"
Gardasil ,"Human Papilomvirus Vac,Qval/PF ",1,"$44,507.63",117,222,157,$380.41,$200.48,$283.49
Gatifloxacin ,Gatifloxacin ,3,"$11,238,809.82","343,871","127,966","86,074",$32.69,$87.83,$130.57
Gattex ,Teduglutide ,1,"$103,410,568.38","3,346","2,828",447,"$30,905.73","$36,566.68","$231,343.55"
Gauze Pads ,Gauze Bandage ,3,"$3,191.97","24,410",411,290,$0.13,$7.77,$11.01
Gavilyte-C ,"PEG3350/Sod Sulf,Bicarb,Cl/KCl ",1,"$2,932,634.13","807,040,076","198,359","186,990",$0.00,$14.78,$15.68
Gavilyte-G ,"PEG3350/Sod Sulf,Bicarb,Cl/KCl ",1,"$4,540,421.40","1,313,769,560","323,704","306,830",$0.00,$14.03,$14.80
Gavilyte-H And Bisacodyl ,Bisac/NaCl/NaHCO3/KCl/PEG 3350 ,1,"$50,474.30","8,853",853,835,$5.70,$59.17,$60.45
Gavilyte-N ,Sodium Chloride/NaHCO3/KCl/PEG ,1,"$4,820,044.97","1,145,778,349","283,750","273,747",$0.00,$16.99,$17.61
Gazyva ,Obinutuzumab ,1,"$1,077,955.43","7,720",112,33,$139.63,"$9,624.60","$32,665.32"
Gelnique ,Oxybutynin ,1,"$453,481.79","159,902","1,393",729,$2.84,$325.54,$622.06
Gelnique ,Oxybutynin Chloride ,1,"$3,186,095.10","326,006","7,118","2,018",$9.77,$447.61,"$1,578.84"
Gemcitabine HCl ,Gemcitabine HCl ,4,"$1,081,934.45","9,922","1,430",405,$177.71,$756.60,"$2,671.44"
Gemfibrozil ,Gemfibrozil ,10,"$20,694,538.70","125,035,094","1,353,007","347,654",$0.17,$15.30,$59.53
Generess Fe ,Noreth-Ethinyl Estradiol/Iron ,1,"$24,625.24","5,544",135,33,$4.44,$182.41,$746.22
Generlac ,Lactulose ,1,"$5,260,404.36","264,088,973","276,785","89,213",$0.02,$19.01,$58.96
Gengraf ,"Cyclosporine, Modified ",1,"$265,191.93","251,838","1,434",861,$1.29,$184.93,$308.00
Genotropin ,Somatropin ,1,"$9,035,129.28","116,788","4,446",645,$191.32,"$2,032.19","$14,007.95"
Gentak ,Gentamicin Sulfate ,1,"$712,382.84","161,505","44,543","36,604",$4.41,$15.99,$19.46
Gentamicin Sulfate ,Gentamicin Sulfate ,8,"$14,420,384.73","19,329,712","419,546","276,932",$1.80,$34.37,$52.07
Gentamicin Sulfate ,Gentamicin Sulfate/PF ,1,"$17,496.17","63,353",231,83,$0.28,$75.74,$210.80
Gentamicin Sulfate In Ns ,"Gentamicin In NaCl, Iso-Osm ",1,"$38,461.25","755,592","1,672",733,$0.05,$23.00,$52.47
Genvoya ,Elviteg/Cobi/Emtric/Tenofo Ala ,1,"$304,386,175.02","3,520,952","113,715","18,818",$86.45,"$2,676.75","$16,175.27"
Geodon ,Ziprasidone HCl ,1,"$11,397,965.87","688,361","10,987","1,457",$16.54,"$1,037.40","$7,822.90"
Geodon ,Ziprasidone Mesylate ,1,"$1,325,302.33","46,137","6,724","2,805",$28.73,$197.10,$472.48
Gianvi ,Ethinyl Estradiol/Drospirenone ,1,"$229,348.92","141,681","3,845",769,$1.62,$59.65,$298.24
Giazo ,Balsalazide Disodium ,1,"$90,525.39","17,607",104,29,$5.14,$870.44,"$3,121.57"
Gildagia ,Norethindrone-Ethinyl Estrad ,1,"$17,362.36","20,666",623,102,$0.84,$27.87,$170.22
Gildess ,Norethindrone Ac-Eth Estradiol ,1,"$168,953.94","215,709","6,803","1,592",$0.78,$24.84,$106.13
Gildess Fe ,Norethindrone-E.Estradiol-Iron ,1,"$274,606.95","474,307","12,897","2,980",$0.58,$21.29,$92.15
Gilenya ,Fingolimod HCl ,1,"$430,492,097.07","1,932,438","58,229","7,057",$222.77,"$7,393.09","$61,002.14"
Gilotrif ,Afatinib Dimaleate ,1,"$81,093,048.92","330,364","11,124","2,164",$245.46,"$7,289.92","$37,473.68"
Glassia ,Alpha-1-Proteinase Inhibitor ,1,"$29,915,234.45","56,474,501","2,965",302,$0.53,"$10,089.46","$99,057.07"
Glatopa ,Glatiramer Acetate ,1,"$73,160,345.20","453,970","15,104","2,461",$161.16,"$4,843.77","$29,727.89"
Gleevec ,Imatinib Mesylate ,1,"$762,554,628.85","3,558,949","76,519","13,146",$264.97,"$9,965.56","$58,006.59"
Gleostine ,Lomustine ,1,"$854,880.23","5,043","2,228",653,$205.35,$383.70,"$1,309.16"
Glimepiride ,Glimepiride ,13,"$79,821,651.54","483,736,892","6,229,564","1,281,178",$0.16,$12.81,$62.30
Glipizide ,Glipizide ,10,"$43,594,167.80","607,260,995","5,862,522","1,221,909",$0.07,$7.44,$35.68
Glipizide ER ,Glipizide ,4,"$34,914,548.97","135,751,348","1,924,368","485,077",$0.25,$18.14,$71.98
Glipizide XL ,Glipizide ,1,"$19,295,680.35","78,027,900","1,086,993","303,763",$0.25,$17.75,$63.52
Glipizide-Metformin ,Glipizide/Metformin HCl ,3,"$33,430,853.46","60,582,459","406,049","84,433",$0.55,$82.33,$395.95
Glucagen ,"Glucagon,Human Recombinant ",1,"$17,636,571.77","67,368","58,946","29,622",$261.80,$299.20,$595.39
Glucagon Emergency Kit ,"Glucagon,Human Recombinant ",1,"$33,670,491.68","133,485","100,295","60,565",$252.24,$335.71,$555.94
Glucophage ,Metformin HCl ,1,"$2,905,892.16","2,258,665","18,296","3,864",$1.34,$158.83,$752.04
Glucophage XR ,Metformin HCl ,1,"$1,703,752.60","1,680,040","11,682","2,543",$1.03,$145.84,$669.98
Glucotrol ,Glipizide ,1,"$292,275.21","170,841","1,569",382,$1.72,$186.28,$765.12
Glucotrol XL ,Glipizide ,1,"$1,012,840.07","590,115","7,259","1,756",$1.69,$139.53,$576.79
Glucovance ,Glyburide/Metformin HCl ,1,"$372,071.07","291,384","2,283",450,$1.28,$162.97,$826.82
Glumetza ,Metformin HCl ,1,"$118,932,335.09","1,683,969","16,553","4,816",$75.15,"$7,184.94","$24,695.25"
Glyburide ,Glyburide ,6,"$8,604,931.12","46,848,485","440,441","134,075",$0.18,$19.54,$64.18
Glyburide Micronized ,"Glyburide,Micronized ",4,"$367,902.79","2,227,878","24,993","7,554",$0.17,$14.72,$48.70
Glyburide-Metformin HCl ,Glyburide/Metformin HCl ,5,"$3,386,884.55","23,830,758","166,268","48,384",$0.14,$20.37,$70.00
Glycopyrrolate ,Glycopyrrolate ,10,"$6,247,687.97","10,383,498","139,589","34,020",$0.63,$44.76,$183.65
Glydo ,Lidocaine HCl ,1,"$16,554.22","31,017",395,241,$0.53,$41.91,$68.69
Glynase ,"Glyburide,Micronized ",1,"$53,245.75","19,962",187,54,$2.70,$284.74,$986.03
Glyset ,Miglitol ,1,"$1,685,088.27","770,356","5,329","1,399",$2.20,$316.21,"$1,204.49"
Glyxambi ,Empagliflozin/Linagliptin ,1,"$16,027,548.00","958,720","23,321","6,029",$16.72,$687.26,"$2,658.41"
Golytely ,"PEG3350/Sod Sulf,Bicarb,Cl/KCl ",1,"$244,812.54","46,788,796","15,149","13,588",$0.36,$16.16,$18.02
Gralise ,Gabapentin ,1,"$27,054,876.26","4,396,849","49,887","10,845",$6.15,$542.32,"$2,494.69"
Granisetron HCl ,Granisetron HCl ,8,"$840,518.37","122,636","6,167","2,355",$10.11,$136.29,$356.91
Granisetron HCl ,Granisetron HCl/PF ,2,"$15,870.13","1,719",519,166,$9.47,$30.58,$95.60
Granix ,Tbo-Filgrastim ,1,"$2,638,996.41","5,032","1,057",478,$524.38,"$2,496.69","$5,520.91"
Grastek ,"Grass Pollen-Timothy, Standard ",1,"$170,604.18","19,980",503,156,$8.54,$339.17,"$1,093.62"
Griseofulvin ,"Griseofulvin, Microsize ",5,"$1,380,352.90","423,570","6,961","4,154",$5.35,$198.30,$332.29
Griseofulvin Ultramicrosize ,Griseofulvin Ultramicrosize ,3,"$1,646,606.73","377,590","7,132","3,912",$4.37,$230.88,$420.91
Guanfacine HCl ,Guanfacine HCl ,4,"$1,072,396.92","6,000,899","94,290","19,026",$0.18,$11.37,$56.36
Guanfacine HCl ER ,Guanfacine HCl ,5,"$1,752,070.55","829,146","22,946","4,051",$2.12,$76.36,$432.50
Gynazole 1 ,Butoconazole Nitrate ,2,"$64,252.27","3,600",574,443,$17.86,$111.94,$145.04
H.P. Acthar ,Corticotropin ,1,"$636,174,839.71","91,690","12,867","3,076","$6,938.32","$49,442.36","$206,818.87"
Halaven ,Eribulin Mesylate ,1,"$939,225.91","1,814",190,45,$517.77,"$4,943.29","$20,871.69"
Halcion ,Triazolam ,1,"$143,311.64","35,394",703,179,$4.05,$203.86,$800.62
Haldol ,Haloperidol Lactate ,1,"$6,060.60",328,65,46,$18.48,$93.24,$131.75
Haldol Decanoate 100 ,Haloperidol Decanoate ,1,"$114,314.85",774,384,142,$147.69,$297.69,$805.03
Haldol Decanoate 50 ,Haloperidol Decanoate ,1,"$30,036.15",355,183,56,$84.61,$164.13,$536.36
Halobetasol Propionate ,Halobetasol Propionate ,4,"$14,599,013.76","5,629,724","108,463","58,019",$2.59,$134.60,$251.62
Halog ,Halcinonide ,1,"$2,941,744.64","272,209","2,952","1,702",$11.01,$996.53,"$1,728.40"
Haloperidol ,Haloperidol ,6,"$39,189,316.81","64,254,076","1,198,091","183,633",$0.61,$32.71,$213.41
Haloperidol ,Haloperidol Lactate ,1,"$100,142.27","20,051","2,657","1,790",$4.99,$37.69,$55.95
Haloperidol Decanoate ,Haloperidol Decanoate ,4,"$17,481,659.65","434,691","238,753","33,405",$39.63,$73.22,$523.32
Haloperidol Decanoate 100 ,Haloperidol Decanoate ,1,"$6,419,961.58","142,590","83,675","14,976",$45.02,$76.72,$428.68
Haloperidol Lactate ,Haloperidol Lactate ,6,"$1,534,675.86","3,301,723","65,992","31,235",$2.53,$23.26,$49.13
Harvoni ,Ledipasvir/Sofosbuvir ,1,"$4,399,701,570.00","3,933,297","141,708","52,804","$1,118.58","$31,047.66","$83,321.37"
Havrix ,Hepatitis A Virus Vaccine/PF ,1,"$3,143,314.66","41,734","41,197","39,401",$75.74,$76.30,$79.78
Healthy Accents Unifine Pentip ,"Pen Needle, Diabetic ",1,"$161,988.57","768,755","5,748","2,158",$0.21,$28.18,$75.06
Heather ,Norethindrone ,1,"$83,439.45","152,732","3,770","1,000",$0.55,$22.13,$83.44
Hectorol ,Doxercalciferol ,1,"$542,685.32","23,344",532,139,$23.89,"$1,020.09","$3,904.21"
Heparin Sodium ,"Heparin Sodium,Porcine ",8,"$6,092,781.60","3,006,267","124,099","27,016",$1.96,$49.10,$225.52
Heparin Sodium ,"Heparin Sodium,Porcine/PF ",2,"$111,875.04","26,413",840,430,$5.21,$133.18,$260.17
Hepsera ,Adefovir Dipivoxil ,1,"$1,019,621.51","24,839",725,128,$41.05,"$1,406.37","$7,965.79"
Herceptin ,Trastuzumab ,1,"$14,557,773.57","3,609","2,450",371,"$4,034.17","$5,941.95","$39,239.28"
Hetlioz ,Tasimelteon ,1,"$50,883,936.28","120,904","3,773",622,$420.86,"$13,486.33","$81,806.97"
Hexalen ,Altretamine ,1,"$232,916.47","14,536",133,60,$16.02,"$1,751.25","$3,881.94"
Hiprex ,Methenamine Hippurate ,1,"$59,674.24","20,829",281,79,$2.86,$212.36,$755.37
Hizentra ,Immun Glob G(IgG)/Pro/IgA 0-50 ,1,"$37,848,344.12","1,126,262","7,222",590,$33.51,"$5,240.70","$64,149.74"
Homatropaire ,Homatropine HBr ,1,"$2,715.52",715,143,115,$3.80,$18.99,$23.61
Homatropine Hydrobromide ,Homatropine HBr ,1,"$6,673.84",935,178,137,$7.14,$37.49,$48.71
Horizant ,Gabapentin Enacarbil ,1,"$17,191,343.18","1,577,927","28,663","7,057",$10.89,$599.77,"$2,436.07"
Humalog ,Insulin Lispro ,1,"$624,459,458.11","26,303,280","1,381,213","321,230",$23.74,$452.11,"$1,943.96"
Humalog Kwikpen U-100 ,Insulin Lispro ,1,"$1,029,433,599.60","33,458,400","1,557,195","434,561",$30.77,$661.08,"$2,368.90"
Humalog Kwikpen U-200 ,Insulin Lispro ,1,"$57,013,867.94","910,159","55,015","17,573",$62.64,"$1,036.33","$3,244.40"
Humalog Mix 50-50 ,Insulin Lispro Protamin/Lispro ,1,"$18,952,437.50","742,868","22,969","4,226",$25.51,$825.13,"$4,484.72"
Humalog Mix 50-50 Kwikpen ,Insulin Lispro Protamin/Lispro ,1,"$32,270,538.37","1,039,074","31,653","7,044",$31.06,"$1,019.51","$4,581.28"
Humalog Mix 75-25 ,Insulin Lispro Protamin/Lispro ,1,"$154,010,455.90","6,105,491","229,628","43,460",$25.22,$670.70,"$3,543.73"
Humalog Mix 75-25 Kwikpen ,Insulin Lispro Protamin/Lispro ,1,"$313,511,528.07","10,155,207","368,586","78,009",$30.87,$850.58,"$4,018.91"
Humapen Luxura Hd ,Insulin Admin. Supplies ,1,"$13,109.95",290,264,234,$45.21,$49.66,$56.03
Humatrope ,Somatropin ,1,"$8,399,869.26","10,243","3,447",530,$872.03,"$2,436.86","$15,848.81"
Humira ,Adalimumab ,1,"$490,135,622.39","249,431","100,135","15,477","$1,965.01","$4,894.75","$31,668.65"
Humira Pen ,Adalimumab ,1,"$1,638,715,582.70","829,513","340,100","48,164","$1,975.51","$4,818.33","$34,023.66"
Humira Pen Crohn-Uc-Hs Starter ,Adalimumab ,1,"$40,579,690.39","20,679","3,458","3,272","$1,962.36","$11,735.02","$12,402.11"
